Dat,Intercept,Value,Kg
556,-189989.40,140511,11.9
557,-189989.40,140502,11.9
558,-189989.40,140354,11.9
559,-189989.40,140252,11.9
560,-189989.40,140354,11.9
561,-189989.40,140436,11.9
562,-189989.40,140199,11.9
563,-189989.40,140245,11.9
564,-189989.40,140470,11.9
565,-189989.40,140381,11.9
566,-189989.40,140388,11.9
567,-189989.40,140352,11.9
568,-189989.40,140408,11.9
569,-189989.40,140326,11.9
570,-189989.40,140265,11.9
571,-189989.40,140513,11.9
572,-189989.40,140332,11.9
573,-189989.40,140319,11.9
574,-189989.40,140309,11.9
575,-189989.40,140270,11.9
576,-189989.40,140298,11.9
577,-189989.40,140280,11.9
578,-189989.40,140331,11.9
579,-189989.40,140309,11.9
580,-189989.40,140290,11.9
581,-189989.40,140245,11.9
582,-189989.40,140363,11.9
583,-189989.40,140290,11.9
584,-189989.40,140188,11.9
585,-189989.40,140234,11.9
586,-189989.40,140216,11.9
587,-189989.40,140326,11.9
588,-189989.40,140337,11.9
589,-189989.40,140251,11.9
590,-189989.40,140426,11.9
591,-189989.40,140218,11.9
592,-189989.40,140267,11.9
593,-189989.40,140383,11.9
594,-189989.40,140341,11.9
595,-189989.40,140266,11.9
596,-189989.40,140267,11.9
597,-189989.40,140353,11.9
598,-189989.40,140346,11.9
599,-189989.40,140305,11.9
600,-189989.40,188017,13.6
601,-189989.40,188104,13.6
602,-189989.40,188060,13.6
603,-189989.40,188155,13.6
604,-189989.40,188050,13.6
605,-189989.40,188095,13.6
606,-189989.40,188233,13.6
607,-189989.40,188014,13.6
608,-189989.40,188030,13.6
609,-189989.40,188038,13.6
610,-189989.40,188222,13.6
611,-189989.40,188002,13.6
612,-189989.40,188028,13.6
613,-189989.40,188346,13.6
614,-189989.40,188333,13.6
615,-189989.40,188221,13.6
616,-189989.40,188082,13.6
617,-189989.40,188215,13.6
618,-189989.40,188314,13.6
619,-189989.40,188289,13.6
620,-189989.40,188183,13.6
621,-189989.40,188145,13.6
622,-189989.40,188287,13.6
623,-189989.40,188275,13.6
624,-189989.40,188279,13.6
625,-189989.40,188410,13.6
626,-189989.40,188229,13.6
627,-189989.40,188168,13.6
628,-189989.40,188300,13.6
629,-189989.40,188172,13.6
630,-189989.40,188230,13.6
631,-189989.40,188060,13.6
632,-189989.40,188295,13.6
633,-189989.40,188286,13.6
634,-189989.40,188128,13.6
635,-189989.40,188307,13.6
636,-189989.40,188366,13.6
637,-189989.40,188275,13.6
638,-189989.40,188305,13.6
639,-189989.40,188325,13.6
640,-189989.40,188240,13.6
641,-189989.40,188389,13.6
642,-189989.40,188468,13.6
643,-189989.40,188415,13.6
