Intercept,Value,Kg,,3.55,3.56,3.57,Err with diff grads
-192396.5,353030,19.6,545426.5,19.36264075,19.4171834,19.47172605,0.05454265
-192396.5,352918,19.6,545314.5,19.35866475,19.4131962,19.46772765,0.054531450000001
-192396.5,353121,19.6,545517.5,19.36587125,19.420423,19.47497475,0.05455175
-192396.5,353144,19.6,545540.5,19.36668775,19.4212418,19.47579585,0.05455405
-192396.5,353002,19.6,545398.5,19.36164675,19.4161866,19.47072645,0.054539850000001
-192396.5,353105,19.6,545501.5,19.36530325,19.4198534,19.47440355,0.054550150000001
-192396.5,353136,19.6,545532.5,19.36640375,19.420957,19.47551025,0.054553250000002
-192396.5,352982,19.6,545378.5,19.36093675,19.4154746,19.47001245,0.054537850000003
-192396.5,353151,19.6,545547.5,19.36693625,19.421491,19.47604575,0.054554750000001
-192396.5,353208,19.6,545604.5,19.36895975,19.4235202,19.47808065,0.054560450000002
-192396.5,353066,19.6,545462.5,19.36391875,19.418465,19.47301125,0.054546250000001
-192396.5,353088,19.6,545484.5,19.36469975,19.4192482,19.47379665,0.054548450000002
-192396.5,352944,19.6,545340.5,19.35958775,19.4141218,19.46865585,0.054534050000001
-192396.5,496136,24.8,688532.5,24.44290375,24.511757,24.58061025,0.068853250000002
-192396.5,495962,24.8,688358.5,24.43672675,24.5055626,24.57439845,0.068835850000001
-192396.5,496032,24.8,688428.5,24.43921175,24.5080546,24.57689745,0.068842850000001
-192396.5,496005,24.8,688401.5,24.43825325,24.5070934,24.57593355,0.06884015
-192396.5,496049,24.8,688445.5,24.43981525,24.5086598,24.57750435,0.068844550000002
-192396.5,496077,24.8,688473.5,24.44080925,24.5096566,24.57850395,0.068847350000002
-192396.5,496193,24.8,688589.5,24.44492725,24.5137862,24.58264515,0.068858950000001
-192396.5,496136,24.8,688532.5,24.44290375,24.511757,24.58061025,0.068853250000002
-192396.5,495888,24.8,688284.5,24.43409975,24.5029282,24.57175665,0.06882845
-192396.5,495763,24.8,688159.5,24.42966225,24.4984782,24.56729415,0.068815949999999
-192396.5,495943,24.8,688339.5,24.43605225,24.5048862,24.57372015,0.06883395
-192396.5,495805,24.8,688201.5,24.43115325,24.4999734,24.56879355,0.068820150000001
-192396.5,495794,24.8,688190.5,24.43076275,24.4995818,24.56840085,0.068819050000002
-192396.5,495825,24.8,688221.5,24.43186325,24.5006854,24.56950755,0.068822150000004
-192396.5,495935,24.8,688331.5,24.43576825,24.5046014,24.57343455,0.068833150000002
